pred_x,pred_y,true_x,true_y,distance_error,n_candidates
238,261,248.56635421212468,247.16717128233734,17.406751324364862,25
285,280,222.13771629392056,220.6171423563011,86.47537507681265,25
339,348,85.51926671124215,18.991139607663058,415.3303653301437,25
187,220,377.3690242404942,205.96307916510818,190.88583115779673,25
326,305,292.4858402009862,267.44892862652875,50.33171831290249,25
304,220,296.787297516801,301.3326778667198,81.65186811140794,25
261,269,264.3508052347965,77.98278522111798,191.04660226657546,25
278,219,358.4727749008258,168.95015573290885,94.76736997194266,25
270,238,270.2138362902173,237.79745299495573,0.29453564854918307,25
361,472,401.38135777574996,458.33111182625817,42.63206023310838,25
294,107,342.6963528485408,129.5773784462952,53.675625736984415,25
315,228,269.2677959294745,246.39250589687327,49.29217749617789,25
274,259,280.4004779070764,257.5269156848943,6.567807460513997,25
355,275,240.49108003171457,420.3994906422596,185.07648319365626,25
255,233,256.5617329867479,235.3014097642498,2.7812761144627314,25
312,299,315.50821222286544,301.25944937898896,4.172848487169893,25
369,220,239.0450459249966,311.4932853974125,158.93178209989534,25
247,210,277.8926030937894,156.4533633743315,61.819052239837745,25
268,178,240.4595262463673,181.95805491664441,27.823441435194624,25
248,212,352.9879250461072,197.2038654036984,106.02542150106689,25
244,161,295.43974830022097,203.73739578179828,66.87699681804017,25
214,290,176.8425212243529,240.98997785651665,61.50333730349429,25
291,258,277.33073227731046,293.93655182543034,38.44846729294164,25
242,315,308.4750925934757,191.6960961785689,140.0813714699992,25
411,291,280.81974225354435,334.0716219343924,137.12061888349564,25
266,235,277.40002942167075,324.41430753090776,90.13811104103917,25
359,481,238.5591567644589,365.0728432283426,167.16788685763967,25
271,242,275.74075899767536,250.7720014090853,9.971098464814919,25
197,414,192.93771427348884,424.40298461090697,11.168001349327621,25
255,189,119.79605200060655,358.6672402075783,216.9494871030553,25
234,219,252.60355001411122,140.9012336784981,80.28392973732724,25
178,301,207.94532397101815,287.4932942473673,32.85047226475497,25
189,181,214.7523996247933,186.64618296020893,26.364094303715568,25
285,131,285.19414199051454,129.76522742489715,1.2499417685264682,25
218,234,174.73130882199706,286.59244039358316,68.1039236961424,25
244,226,264.02711887066755,212.68089291340038,24.051696485781545,25
293,245,294.87770030129616,247.19613779092828,2.8894254823807124,25
289,131,262.48907763815026,234.42219451815492,106.76600265733985,25
261,269,261.0121716335764,266.49402235512855,2.5060072037524908,25
251,108,171.51470854034488,280.12004150139694,189.5869727720471,25
307,312,291.39725636735807,261.8291129905896,52.54106500801993,25
281,167,185.22064201240437,302.5771675773761,165.9965475087356,25
339,279,249.8989695273933,301.42248481020647,91.87905885643545,25
334,98,333.439057475602,98.4006009655206,0.6893022916355609,25
241,299,243.12216366983066,297.04296365625135,2.886792318872665,25
289,266,290.6655643958859,267.7753721586853,2.434348179426599,25
174,207,175.01610389616908,208.02939816541448,1.4464189264416745,25
189,260,267.43393108029227,231.4499123923647,83.468491343211,25
205,255,293.51631977405725,194.1303284839267,107.42558250629979,25
279,165,270.7529330931112,121.81293103507824,43.96745430824497,25
255,261,255.24757687663788,260.7991261863567,0.318817500858037,25
101,145,18.15765872058799,158.2752545950131,83.89926038539905,25
272,355,211.22357752412466,304.1419254417947,79.2484528349548,25
299,188,81.22008224618753,237.49087080023412,223.33257458199597,25
299,349,269.1291011382033,397.6238756900684,57.066206163848975,25
318,373,324.0896774905498,482.4059779675959,109.57532654290831,25
305,180,308.1663760421825,173.85715515701452,6.910895745523918,25
209,269,237.7018633421672,199.0912126176446,75.57139348049509,25
196,319,175.45987937263465,62.00682897389288,257.8126965636888,25
200,215,214.08055739272788,227.10392263255568,18.567903478443586,25
285,274,279.88244463332654,245.0050258176285,29.44312994175989,25
242,278,349.931161302781,402.7751422079075,164.97870072579207,25
330,219,269.1672664332644,203.10129025538822,62.87599259450983,25
152,279,231.69532031363343,254.0715794435731,83.50311509956212,25
269,235,267.32860748287237,235.95274318037747,1.9238691520126836,25
192,294,244.5945905977336,327.9094139692932,62.57826552313595,25
232,233,254.5995792450114,308.34287659039586,78.65932897607995,25
201,179,224.60181988719864,289.45447518344974,112.9479392908037,25
317,319,266.6821598020907,297.9483684763617,54.544076048544234,25
263,390,256.8265032500773,369.7887966906112,21.13302631746705,25
274,284,208.8580369906752,298.2926540697818,66.69149349854666,25
226,241,232.4644598621606,247.11229036162615,8.896591188444782,25
248,124,282.03315933295414,332.9754652961478,211.72860229530565,25
327,381,304.6522572974754,210.24843522201604,172.20777705443007,25
165,215,166.35563571861846,216.40162021809465,1.9499454959987668,25
337,320,376.711375712778,297.00035075724134,45.89092749434626,25
333,330,295.24182055261167,344.2886698570454,40.371353723461105,25
311,277,244.39961564225948,275.62676415642227,66.61454025421818,25
231,347,205.9453928790819,275.70460211742125,75.56961755374164,25
286,263,283.8220104237706,264.56233826373705,2.680399120373815,25
209,104,187.50259186236642,144.5000134569808,45.85182271896747,25
217,289,330.99097282504647,262.58193091111764,117.01220560260133,25
101,56,308.4707930609465,412.0466109860471,412.0841166169689,25
227,307,345.6400016038398,208.68118852143044,154.0845179475135,25
284,147,278.5523479574624,178.70957126051394,32.17411727308421,25
304,301,300.4299643327947,300.73195778675284,3.5800839785122704,25
263,390,55.25097476130318,263.1112204126291,243.43463162171705,25
215,248,114.62655960970937,269.27806940397716,102.60401441144344,25
267,109,89.18888662842988,144.52459795892742,181.3250923026948,25
281,253,331.3472632462101,134.04373052396613,129.1721369492584,25
